,Query,Prediction,Actual
32,"%20s%65le%63t *%20from%20u%73er%73 %77he%72e %202%2f2-%31+%32*%33-6%2bi%64+%30+2%2a3-%36=%32/%32-1%2b8%2d8+1 Or%208-8 Or%20 ""%2e  (   %22 %4fr 8%2d8 or %202%2f2%2d1+%38-8+S%49N(%30)+%30+%31+8-8=%38-8%2b8-8%2b1 %2d- 1%20",0,1.0
33," selec%74 *%20f%72om u%73ers%20w%68ere  %32*3-6+%32/%32-%31+i%64+%32*3%2d6%3d0%2b2%2a3%2d6%2b'%31'%2b0%2bSIN(%30)%2b8%2d8%20unio%6e %73el%65ct%20||/%31,vers%69o%6e %20( %20  %29   %2d-%201%27 ",0,1.0
34, %73ele%63t%20*%20fr%6fm%20u%73er%73 %77h%65re%20 %32*3%2d6+%69d%2b2%2f2%2d1+%32*3%2d6%3d0%2b0%2b'%31'%2b8-8+%30+%53I%4e(%30) %75n%69on%20s%65l%65ct +%5c.%2c@@V%45RSI%4fN -- %31'%20,0,1.0
35,or%20 %30+2%2a3-6%2bS%49N(0%29+1%2bS%49N(%30)%2b2/2-1%3d0+8%2d8%2b1%2f* ,0,1.0
36,%252%37 O%72 S%49N(0%29 OR 2%2f2%2d1 %4fr %202%2f2-%31+1%2b2/%32-1+2/%32-%31=%32/2%2d1%2bSI%4e(0)%2b8-8+%31+%38-8%20,0,1.0
37," %73elect * %66r%6fm%20user%73 %77h%65r%65  8-8+8%2d8%2bi%64+8-%38=1%2b2%2f2%2d1+%32*3-%36+SI%4e(0%29+%30+2%2f2-%31 <%40&%40 %75n%69on se%6cec%74 1,ver%73i%6fn %20(%20   )%20 %20--%201%20",0,1.0
38," %73e%6cect * %66r%6fm %75se%72s%20w%68ere %20S%49N%280)+%69d%2bSI%4e(0)+%32*%33-%36+%32*%33-6+%53IN(%30)%3d2/%32-1+%32*3%2d6%2b8-8+%271'%20unio%6e %73elec%74 %24*%24,%40@VER%53ION -%2d %31'%20",0,1.0
39,"%31;%20 %28 %20load%5ff%69le %20( %20c%68a%72  (%20 %347%2c101%2c116%2c9%39,4%37,%311%32,9%37,1%315,%20..%2e ",0,1.0
40,%20s%65l%65ct * %66r%6fm us%65r%73 w%68ere  %32*3-6+8-%38+8%2d8%2bid%2b0+2/2%2d1=SI%4e(%30)%2b2/%32-%31+'%31' %4fr%202%2a3%2d6%20O%52 S%49N(0%29 %6fR%20$ %202%2f2%2d1+%30+%32*%33-%36+%53IN%280%29+1%3d2/2%2d1%2b2%2a3%2d6+%38-%38+%53I%4e(0)+%31+%38-8%20u%6eion %73el%65c%74 1%2c@@%56ERSIO%4e --%201' ,0,1.0
41,se%6cec%74 *%20fro%6d u%73e%72s %77her%65  %32/%32-1+%69d%2b2/%32-1%2b8-8%2bSI%4e(%30)+S%49N(%30)%3d2/%32-%31+%31+2/%32-%31+%38-%38 Or%202%2a3%2d6 o%72 %5c.<1%20o%72  %38-8%2bSIN%280)%2b8-8%2b1%2bS%49N%280)%3d0%2b2%2a3-6%2b1+2%2f2%2d1+%32*%33-%36 -%2d 1%20,0,1.0
42,"%20s%65l%65c%74 *%20f%72om u%73e%72s %77h%65re  %53IN(0%29+%32*%33-%36+%53I%4e(%30)%2bi%64='%31'+2%2f2-%31+8%2d8+%30 %4fr %38-%38 %4fr%20S%49N%280) o%72 %5c<\%20u%6eio%6e %73e%6cect 1,@@VE%52SI%4fN%20-%2d 1%27 ",0,1.0
43," %73el%65c%74 *%20fr%6fm%20us%65r%73 wh%65r%65  8%2d8%2b2%2f2%2d1%2bi%64+%38-8%2b2*3-%36=2*%33-6%2b1+%30 %75n%69on sel%65c%74 %31||%31,%76e%72s%69o%6e  ( %20  %29 %20 --%201%20",0,1.0
44,%20s%65lec%74 %2a %66ro%6d us%65r%73 %77he%72e %202%2f2%2d1+2*3%2d6%2bi%64+8%2d8+%53I%4e(0)+%32*%33-%36=%32*3-%36+%32/%32-%31+%32/%32-%31+%31+%38-8%2bS%49N(0)%20|%7c1 u%6eion %73e%6cect%20null%2cban%6eer %66ro%6d v%24v%65r%73i%6fn%20wher%65  %32/2-%31+%72ow%6eum%2bSIN(%30)%2bSI%4e(0%29+2*%33-6+%38-%38=8%2d8+8%2d8+%32/%32-1+%30+%31+2%2f2-%31 %2d-%201%20,0,1.0
45,%73e%6ce%63t *%20f%72o%6d %75ser%73 %77h%65r%65  0+id%2b8%2d8%2b0+SI%4e(0)%2b0%3d8-8%2b'1'+0+0%2b2%2f2-1+%30 %6fr %53IN(%30) |%7c %30 ||%20S%49N%280%29 O%52 \%2e<\%20or  %53IN%280%29+%31+%32/%32-%31=%31+%32*%33-6+%53I%4e(%30)+%32/2-1%20--%201'%20,0,1.0
46,"%20s%65l%65ct%20* f%72om%20user%73 w%68e%72e %200+%53IN(%30)%2bid%2bS%49N%280)=8-8+1+2%2a3-%36+%53I%4e(%30)+%30 or%208%2d8%20OR%20SI%4e(0%29 %4fr%20 %22]{%20"" %6fr 0%20o%52 2%2f2-%31 o%52 %202%2a3-6+1+%30+0%2b0%2b0=%38-8+%38-%38+%53I%4e(0%29+%31+2*%33-%36+8-%38 --%201%20",0,1.0
47, s%65l%65ct *%20f%72om us%65r%73 %77here%20 %30+id+2%2f2-1+8%2d8+%32/2%2d1=%32/2%2d1%2bS%49N(%30)+2%2f2-1%2b2%2a3%2d6+%31+8-%38 %6fR%202%2a3-%36 O%72 %32/%32-%31 %6fr  %22.%40 %22 %6fr%202*%33-6 %4fr  0%2b2/2-%31+%32*%33-%36+0%2bSIN(%30)+%31=2%2a3-6%2b2/%32-%31+%31+SIN(%30)%2b2*3%2d6 -%2d 1 ,0,1.0
48,"%20s%65lect *%20f%72om %75s%65r%73 w%68e%72e  0%2b2%2a3-6%2bi%64=%32*3%2d6%2b2*%33-6+0%2b0%2b1%20o%72 2/2%2d1 OR  %22$[ "" O%52 0%20or S%49N%280%29 O%72 %20SI%4e(%30)%2b1+%32/2-1%2b2/%32-%31=%32*3%2d6%2b8%2d8+1%2b2*%33-6%2b2%2a3-%36 %2d-%201%20",0,1.0
49,%6fr%201 %2d-%27 ,0,1.0
50,"%20s%65lect %2a %66ro%6d user%73 %77here  %32*%33-6%2b0+%53I%4e(%30)%2bid+2%2f2%2d1+0%3d0+2*%33-6%2b2%2f2%2d1%2b1 O%72 2%2a3%2d6 O%72 %20""%2c;%20""%20or%20S%49N%280)%20O%52 %38-%38 %6fR SIN(%30) Or %208%2d8+8%2d8%2b1%3d2/%32-%31+S%49N(%30)+1%2b8%2d8+%53IN%280) -%2d %31 ",0,1.0
51,"ad%6din ""%20OR%202%2a3-6%20o%72 %20S%49N%280%29+S%49N(%30)%2b1+%30=%31+%30+%38-8+%32/%32-%31+%32/%32-1 #",0,1.0
52," %73el%65c%74 %2a %66r%6fm u%73ers%20w%68ere%20 %30+%30+%53I%4e(%30)%2bid%2b2/%32-1%2b2*%33-%36=%32*3-6%2b0%2b1%2b2%2a3%2d6+%38-8 %2b  %28  1%20 %29 %20 u%6ei%6fn%20s%65l%65c%74 %6eu%6cl,%62an%6eer%20fr%6fm %76$v%65r%73ion where  0+row%6eu%6d+%32*%33-6%2b2%2a3%2d6+8%2d8%3d0%2b2%2a3-%36+1%20-%2d %31 ",0,1.0
53,%5cx27UN%49ON %53EL%45CT ,0,1.0
54,%50RI%4eT ,0,1.0
55,"%20se%6ce%63t%20* %66rom u%73e%72s %77he%72e%20 %38-8%2bS%49N%280%29+%69d%2bSI%4e(0%29=8-8+%32/%32-%31+2%2f2%2d1%2b'1'%20unio%6e sel%65ct%20  ( %20\.  %29 %20,%40@V%45R%53I%4fN %2d- 1%27 ",0,1.0
56,%6fr%20 %38-%38+%38-8%2b1%2b8%2d8%2b8-%38+%32/2%2d1=0%2b0%2b2/2%2d1+%31-%2d+%30+8-8%20,0,1.0
57,%31 OR%202*%33-%36 o%52 0%20|%7c p%67_%73le%65p  (%20 %5f_T%49ME_%5f  %29 %20-%2d ,0,1.0
58," s%65l%65ct %2a %66r%6fm u%73er%73 w%68er%65  SI%4e(%30)%2bi%64+%38-8+0+%30=%38-%38+SI%4e(%30)%2b1%2b2/%32-%31+%32*3%2d6%2bS%49N(%30)%20or%20SI%4e(0%29 O%72  ""%2c#%20"" %4fr%202/%32-%31 %7c|%200 ||  2/2-1%2b2*%33-6%2b0+%31=2*3%2d6+1+%32/2%2d1%2b2%2f2-%31 --%201 ",0,1.0
59,%61d%6di%6e'%20 )   O%72 %38-8 or%200%20o%52 %20 (%20 %202%2a3-6+SI%4e(0%29+%32/%32-%31+%271'%2b8-%38+2%2a3%2d6=%32*3%2d6%2b2/%32-1+'1%27/%2a+%32*%33-6 ,0,1.0
60,%6fr%202 %62e%74we%65n%201 and%201%20a%4ed 3 ,1,1.0
61,"%20s%65le%63t *%20from %75sers w%68ere  2%2f2%2d1+id+%30+%53I%4e(%30)%3dSI%4e(%30)+%31+%30 %6fr%200 %4fR S%49N%280%29 %6fr%20 %22 %20)  %2e "" SIN%280%29+0%2b+%53IN(0)%2b2*3-6+%32*3-%36=1+SIN%280%29+2%2a3%2d6+%53IN%280%29+8-8%20or %32/2%2d1 Or 8%2d8 %4fR %32/%32-%31 ||%20 1%2bS%49N(%30)%2b2%2a3%2d6%2b2%2f2%2d1+%30=%38-%38+1+0%2b8-%38 -%2d %31 ",0,1.0
62,"%20s%65l%65c%74 %2a f%72o%6d users %77here%20 %38-%38+%69d+%32*%33-6+%38-%38+0+%32/%32-%31=2%2f2-%31+1+%38-%38+2*3-%36 ||%202%2f2-%31 or%202%2f2%2d1 o%72 %32*3-%36 Or%201#%20"".%20u%6eion%20s%65l%65c%74 nu%6cl%2cv%65r%73io%6e  %28 %20  )%20 %20-%2d %31 ",0,1.0
63,a%64mi%6e'%20o%52 %30 oR%200%20|%7c %53IN%280) o%72 %200+%271%27+%53IN%280)%2bSI%4e(%30)+2%2f2-1+%38-8%3d8%2d8+8-8%2b2%2a3-6%2b2/%32-1%2b'%31 ,0,1.0
64,;%20if %6eo%74 %20( %20s%65l%65ct%20syst%65m%5fuse%72  ) %20 <>%20'%73a%27 %77ai%74f%6fr de%6ca%79 '%30:%30:2' %2d-%20,0,1.0
65,%20s%65lec%74 %2a f%72om u%73ers%20w%68er%65  %32/2%2d1%2bi%64+0=%32/%32-%31+S%49N%280%29+1+%53I%4e(0)%20union s%65l%65ct 1%2cb%61n%6eer fro%6d %76$v%65rsi%6fn%20wh%65r%65  %32*%33-6+%30+%30+%72ow%6eum+2/2%2d1%3d0+%53IN(0)%2b8%2d8+1+%53IN(0%29+2/2%2d1 -- 1%20,0,1.0
66,"%20"" |%7c S%49N(0%29 oR 0%20Or%20S%49N(0%29 %4fr %20SI%4e(0%29+0+%53IN%280)+2/%32-1%3d0+%38-%38+SI%4e(0%29+0 -%2d ",0,1.0
67,%20s%65lec%74 %2a %66r%6fm %75s%65r%73 %77her%65  %69d+0+%53I%4e(%30)%2b0+%32*%33-%36=%30+%31+S%49N%280)+%32*3-6 %75nion%20s%65l%65ct %40 %24_%2cv%65r%73i%6fn %20(  %20 %29  %20-- 1%20,0,1.0
68,se%6cec%74 %2a fro%6d %75s%65rs%20w%68e%72e  %30+2/2%2d1+0%2bi%64+8-8+2%2a3%2d6%3d8-%38+%32/2%2d1%2b1+S%49N(%30)%2b8-8 <@.$%20O%72 %53I%4e(%30) Or %53IN%280)%20or %200+0+%31+%30+2%2f2%2d1=2*3%2d6+%53IN(0%29+%31+%32/%32-%31 %2d- 1 ,0,1.0
69,"%20se%6ce%63t * %66rom %75s%65r%73 whe%72e%20 %69d+SI%4e(0%29+%38-%38+%38-%38=%30+8%2d8+1 O%52 %32/2-%31 %6fR%200 || %20""%25.%20"" Or %30 or  2%2a3%2d6+0+%53I%4e(%30)+1%3d2/%32-1+%30+%31+%30+0+%53I%4e(%30) -%2d %31 ",0,1.0
70," se%6cec%74 %2a fr%6fm%20u%73e%72s %77h%65re  %32/2-1+SIN(0)%2bi%64+8-8=SIN(0%29+%32/%32-1%2b2/%32-%31+%38-%38+%31+S%49N(%30) %2b %24+%2a$ unio%6e %73e%6cect%20n%75ll,%40@%56ER%53I%4fN%20-%2d 1%20",0,1.0
71," se%6cec%74 %2a f%72o%6d %75sers%20w%68e%72e%20 %53IN%280)%2b2*%33-%36+id%3d2/%32-1%2b1+8-%38+8%2d8%2b2/2%2d1+2*3%2d6%20OR%208-8 %7c|%20SIN%280%29 |%7c %32*3-%36 %4fR%20 ""%2c. "" %6fr 2%2a3-%36 O%52 %200%2b8-%38+2%2a3%2d6%2b1=%32*%33-6+%30+%31+S%49N(0%29+%53IN(0) %2d- 1%20",0,1.0
72,%63h%61r%2540%339%%341%2b%2540%53E%4cE%43T%20,0,1.0
73,"%20se%6cec%74 * %66r%6fm %75s%65r%73 %77h%65r%65  i%64+2/2-1+8-8=2*3-%36+%38-8%2b1%2b2/2%2d1+8%2d8%2bS%49N%280) %6fr%202/2%2d1%20O%72 %38-%38 %4fr%20 ""%31&%20"" o%72 2%2f2%2d1%20O%72 %53I%4e(%30)%20o%52  %32/2%2d1+%32/%32-%31+%31+%32*3%2d6%2b0=%53IN(0%29+%38-%38+2/2-%31+%31 %2d-%201 ",0,1.0
74,%61dmi%6e' %20)%20  %4fr 8%2d8 %7c| 0%20||%20  %28  %208-%38+'%31'%2b0%2bSI%4e(0%29=SIN(%30)+%53I%4e(%30)%2b'1%2b2%2a3-%36+%30+2/%32-1 ,0,1.0
75,%64e%63l%61r%65 %40s%20va%72cha%72  %20( %202%300%20 %29 %20 se%6ce%63t%20 %32*%33-6%2b8-8%2b@s%2b0=0%2b0%2b0x73656%636%2bSIN(%30)%20..%2e ,0,1.0
76,o%72  S%49N(0%29+8%2d8%2b0%3d2*3-6%2b0+%38-%38 %23 %22 ,0,1.0
77,"%20se%6cect%20*%20f%72o%6d %75se%72s wh%65re %20S%49N%280%29+%53IN(%30)+%30+SI%4e(%30)%2bi%64=2/%32-1%2bSIN(0%29+1+2*3%2d6%20Or %53IN(0) %6fR%202%2f2-1 o%72  %22.%5d ""%20OR %53IN(0%29 %6fr  %53I%4e(0)%2b1%2b2%2f2%2d1%2b8%2d8%2bS%49N(%30)%3d0+%53IN%280%29+%31+8-8+2*3%2d6+0%20--%201%20",0,1.0
78,%20 )  %20o%72 8-8%20|| %30 %4fR 8%2d8%20o%72 %20 %28  %202*3%2d6+%32*%33-%36+%53IN%280%29+'x'%2b2%2f2-1=8-8%2bS%49N%280%29+'%78+%32*3%2d6%20,0,1.0
79," %73e%6cec%74 %2a f%72om%20u%73e%72s%20w%68er%65 %20S%49N%280%29+S%49N%280)%2b0+2/%32-1%2bid%3d2%2f2%2d1%2b2/2-%31+%31.%3c@$ %75ni%6fn%20s%65l%65c%74 1,%76e%72si%6fn  ( %20 %20)   --%201 ",0,1.0
80,$ %20( %20s%6ceep %350  %29 %20,0,1.0
81," se%6ce%63t * f%72o%6d users whe%72e %20SIN(%30)+0%2b2/2%2d1%2bSI%4e(0)+%69d=2%2a3-%36+%30+1%2bS%49N%280)%2b2%2a3%2d6%20*%31 %75nio%6e %73e%6cec%74 %6eul%6c,%62a%6ener %66r%6fm%20v$%76er%73io%6e wh%65re%20 %53IN%280%29+ro%77n%75m%2b0%3dSIN%280%29+1%2b2*%33-%36+%38-8 -%2d 1 ",0,1.0
82,"%31 un%69on %61l%6c %73e%6cect%201,2,3%2c4,%35,%36,%6ea%6de from%20s%79s%6fb%6aect%73 %77he%72e %20SIN%280%29+%32*%33-6%2b8%2d8%2bx%74y%70e=0+%27u'+%53IN%280)+0%2b2*%33-6%2b8-%38 %2d-%20",0,1.0
